id,label,weight
Parkinson,Parkinson,2
Augusta,Augusta,1
Hector,Hector,1
Felix,Felix,29
Humphrey,Humphrey,1
Bob Ogden,Bob Ogden,2
Bob,Bob,1
Gaunt,Gaunt,33
Mr Gaunt,Mr Gaunt,6
Morfin,Morfin,47
Merope,Merope,25
Peverell,Peverell,10
Cecilia,Cecilia,1
Merope Gaunt,Merope Gaunt,1
Marvolo Gaunt,Marvolo Gaunt,5
Shunpike,Shunpike,3
Mr Shunpike,Mr Shunpike,1
Demelza Robins,Demelza Robins,4
Jimmy,Jimmy,3
Ritchie,Ritchie,1
Demelza,Demelza,9
Melinda,Melinda,1
Glad,Glad,2
Leanne,Leanne,15
Nigellus Black,Nigellus Black,3
Burke,Burke,9
Merope Riddle,Merope Riddle,1
Mrs Cole,Mrs Cole,20
Martha,Martha,1
Billy,Billy,2
Amy Benson,Amy Benson,2
Dennis Bishop,Dennis Bishop,2
Bear,Bear,1
Muriel,Muriel,44
Sybill,Sybill,3
Ronald,Ronald,7
Grey,Grey,5
Fenrir Grey,Fenrir Grey,2
Fergus,Fergus,1
Slughorn Harry,Slughorn Harry,1
Morfin Gaunt,Morfin Gaunt,1
Wilkie Twycross,Wilkie Twycross,3
Twycross,Twycross,7
Vane,Vane,1
Ralph,Ralph,1
Mag,Mag,1
Sybill Trelawney,Sybill Trelawney,1
Hepzibah Smith,Hepzibah Smith,3
Hepzibah,Hepzibah,21
Mr Burke,Mr Burke,3
Miss Hepzibah,Miss Hepzibah,1
Mr Riddle,Mr Riddle,1
Octavius,Octavius,1
Mr Finnigan,Mr Finnigan,1
Montgomery,Montgomery,1
Fenrir Greyback,Fenrir Greyback,5
Pomona,Pomona,2
Rupert,Rupert,2
Bertram Aubrey,Bertram Aubrey,1
Aubrey,Aubrey,1
Eileen Prince,Eileen Prince,4
Hermione Felix,Hermione Felix,1
Amycus,Amycus,15
Alecto,Alecto,6
Fenrir,Fenrir,3
Levi,Levi,1
Filius,Filius,3
Rosalind,Rosalind,1
Tobias Snape,Tobias Snape,2
Pius Thicknesse,Pius Thicknesse,5
Thicknesse,Thicknesse,12
Charity Burbage,Charity Burbage,4
Burbage,Burbage,3
Charity,Charity,2
Percival,Percival,5
Kendra,Kendra,17
Ariana,Ariana,39
Betty,Betty,2
Doge,Doge,36
Ivor,Ivor,2
Dedalus,Dedalus,13
Trace,Trace,14
Stanley Shunpike,Stanley Shunpike,1
Dora,Dora,5
Mrs Tonks,Mrs Tonks,2
Mr Tonks,Mr Tonks,2
Wendell,Wendell,2
Monica,Monica,2
Art,Art,2
Hermione Jean,Hermione Jean,1
Jean Granger,Jean Granger,1
Bard,Bard,8
Fortune,Fortune,1
Barny,Barny,3
Xenophilius,Xenophilius,66
Mr Lovegood,Mr Lovegood,11
Xenophilius Lovegood,Xenophilius Lovegood,5
Ginevra,Ginevra,1
William Arthur,William Arthur,1
Fleur Isabelle,Fleur Isabelle,1
Mr Doge,Mr Doge,1
Elphias,Elphias,6
Barry,Barry,2
Kendra Dumbledore,Kendra Dumbledore,2
Lancelot,Lancelot,2
Bagshot,Bagshot,4
Thorfinn Rowle,Thorfinn Rowle,1
Dusty,Dusty,1
Rowle,Rowle,5
Dumbledore Harry,Dumbledore Harry,1
Fletcher,Fletcher,2
Miss Bella,Miss Bella,1
Miss Cissy,Miss Cissy,1
John Lupin,John Lupin,1
Alecto Carrow,Alecto Carrow,3
Mafalda,Mafalda,7
Reg Cattermole,Reg Cattermole,5
Runcorn,Runcorn,9
Cattermole,Cattermole,5
Albert,Albert,3
Cresswell,Cresswell,2
Reg,Reg,3
Bernie,Bernie,1
Mary Cattermole,Mary Cattermole,1
Mrs Cattermole,Mrs Cattermole,27
Mary Elizabeth,Mary Elizabeth,1
Reginald Cattermole,Reginald Cattermole,1
Maisie,Maisie,1
Ellie,Ellie,1
Alfred,Alfred,1
Mr Cattermole,Mr Cattermole,1
Dirk,Dirk,8
Bill Weasley,Bill Weasley,1
Wright,Wright,1
Abbott,Abbott,2
Ignotus,Ignotus,6
Gellert Grindelwald,Gellert Grindelwald,9
Ariana Dumbledore,Ariana Dumbledore,3
Gellert,Gellert,5
Aberforth Dumbledore,Aberforth Dumbledore,2
Shell,Shell,9
Egbert,Egbert,1
Antioch,Antioch,1
Cadmus,Cadmus,1
Ignotus Peverell,Ignotus Peverell,2
Royal,Royal,4
Vernon Dudley,Vernon Dudley,2
Clearwater,Clearwater,1
Remus John,Remus John,1
Teddy Lupin,Teddy Lupin,1
Marius,Marius,1
Madam Lestrange,Madam Lestrange,2
Carrow,Carrow,3
Gray Lady,Gray Lady,3
Gray,Gray,1
Helena Ravenclaw,Helena Ravenclaw,3
Teddy,Teddy,4
Lily Evans,Lily Evans,2
Lily Snape,Lily Snape,1
Dexter Fortescue,Dexter Fortescue,1
Al,Al,2
Rose,Rose,6
Hugo,Hugo,3
